"PSRR (iLoad=1e-07,vdd=1.1) X","PSRR (iLoad=1e-07,vdd=1.1) Y","PSRR (iLoad=1e-07,vdd=1.136842) X","PSRR (iLoad=1e-07,vdd=1.136842) Y","PSRR (iLoad=1e-07,vdd=1.173684) X","PSRR (iLoad=1e-07,vdd=1.173684) Y","PSRR (iLoad=1e-07,vdd=1.210526) X","PSRR (iLoad=1e-07,vdd=1.210526) Y","PSRR (iLoad=1e-07,vdd=1.247368) X","PSRR (iLoad=1e-07,vdd=1.247368) Y","PSRR (iLoad=1e-07,vdd=1.284211) X","PSRR (iLoad=1e-07,vdd=1.284211) Y","PSRR (iLoad=1e-07,vdd=1.321053) X","PSRR (iLoad=1e-07,vdd=1.321053) Y","PSRR (iLoad=1e-07,vdd=1.357895) X","PSRR (iLoad=1e-07,vdd=1.357895) Y","PSRR (iLoad=1e-07,vdd=1.394737) X","PSRR (iLoad=1e-07,vdd=1.394737) Y","PSRR (iLoad=1e-07,vdd=1.431579) X","PSRR (iLoad=1e-07,vdd=1.431579) Y","PSRR (iLoad=1e-07,vdd=1.468421) X","PSRR (iLoad=1e-07,vdd=1.468421) Y","PSRR (iLoad=1e-07,vdd=1.505263) X","PSRR (iLoad=1e-07,vdd=1.505263) Y","PSRR (iLoad=1e-07,vdd=1.542105) X","PSRR (iLoad=1e-07,vdd=1.542105) Y","PSRR (iLoad=1e-07,vdd=1.578947) X","PSRR (iLoad=1e-07,vdd=1.578947) Y","PSRR (iLoad=1e-07,vdd=1.615789) X","PSRR (iLoad=1e-07,vdd=1.615789) Y","PSRR (iLoad=1e-07,vdd=1.652632) X","PSRR (iLoad=1e-07,vdd=1.652632) Y","PSRR (iLoad=1e-07,vdd=1.689474) X","PSRR (iLoad=1e-07,vdd=1.689474) Y","PSRR (iLoad=1e-07,vdd=1.726316) X","PSRR (iLoad=1e-07,vdd=1.726316) Y","PSRR (iLoad=1e-07,vdd=1.763158) X","PSRR (iLoad=1e-07,vdd=1.763158) Y","PSRR (iLoad=1e-07,vdd=1.8) X","PSRR (iLoad=1e-07,vdd=1.8) Y","PSRR (iLoad=0.01,vdd=1.1) X","PSRR (iLoad=0.01,vdd=1.1) Y","PSRR (iLoad=0.01,vdd=1.136842) X","PSRR (iLoad=0.01,vdd=1.136842) Y","PSRR (iLoad=0.01,vdd=1.173684) X","PSRR (iLoad=0.01,vdd=1.173684) Y","PSRR (iLoad=0.01,vdd=1.210526) X","PSRR (iLoad=0.01,vdd=1.210526) Y","PSRR (iLoad=0.01,vdd=1.247368) X","PSRR (iLoad=0.01,vdd=1.247368) Y","PSRR (iLoad=0.01,vdd=1.284211) X","PSRR (iLoad=0.01,vdd=1.284211) Y","PSRR (iLoad=0.01,vdd=1.321053) X","PSRR (iLoad=0.01,vdd=1.321053) Y","PSRR (iLoad=0.01,vdd=1.357895) X","PSRR (iLoad=0.01,vdd=1.357895) Y","PSRR (iLoad=0.01,vdd=1.394737) X","PSRR (iLoad=0.01,vdd=1.394737) Y","PSRR (iLoad=0.01,vdd=1.431579) X","PSRR (iLoad=0.01,vdd=1.431579) Y","PSRR (iLoad=0.01,vdd=1.468421) X","PSRR (iLoad=0.01,vdd=1.468421) Y","PSRR (iLoad=0.01,vdd=1.505263) X","PSRR (iLoad=0.01,vdd=1.505263) Y","PSRR (iLoad=0.01,vdd=1.542105) X","PSRR (iLoad=0.01,vdd=1.542105) Y","PSRR (iLoad=0.01,vdd=1.578947) X","PSRR (iLoad=0.01,vdd=1.578947) Y","PSRR (iLoad=0.01,vdd=1.615789) X","PSRR (iLoad=0.01,vdd=1.615789) Y","PSRR (iLoad=0.01,vdd=1.652632) X","PSRR (iLoad=0.01,vdd=1.652632) Y","PSRR (iLoad=0.01,vdd=1.689474) X","PSRR (iLoad=0.01,vdd=1.689474) Y","PSRR (iLoad=0.01,vdd=1.726316) X","PSRR (iLoad=0.01,vdd=1.726316) Y","PSRR (iLoad=0.01,vdd=1.763158) X","PSRR (iLoad=0.01,vdd=1.763158) Y","PSRR (iLoad=0.01,vdd=1.8) X","PSRR (iLoad=0.01,vdd=1.8) Y"
1,-48.39844123278299,1,-52.30514223182271,1,-55.56281896689086,1,-58.41418508465091,1,-61.01738410879819,1,-63.56300727751714,1,-66.20197664392262,1,-69.15171014514902,1,-72.78438386890038,1,-78.06590828502802,1,-84.00271217878259,1,-85.00322387579214,1,-76.93602007618186,1,-72.84950894707892,1,-70.03248087652702,1,-67.76488738819965,1,-65.60334300807232,1,-63.31148381935579,1,-60.65672944365392,1,-57.28562734362792,1,-34.03332523750656,1,-48.53930820338883,1,-58.45436653992179,1,-67.14182141075099,1,-72.46013637936049,1,-86.96414365740485,1,-113.8331707917593,1,-89.98493637625167,1,-88.03174854464828,1,-89.18955302192657,1,-91.97982503603873,1,-98.43660903505946,1,-156.0702621302933,1,-92.61823548699152,1,-93.45162233472813,1,-83.64335920444108,1,-80.16012940441802,1,-77.94263500190749,1,-76.40789965875001,1,-72.36404203417412
1.584893192461114,-48.39844123278279,1.584893192461114,-52.30514223182208,1.584893192461114,-55.56281896688989,1.584893192461114,-58.41418508464903,1.584893192461114,-61.01738410879504,1.584893192461114,-63.56300727751183,1.584893192461114,-66.20197664391141,1.584893192461114,-69.15171014513149,1.584893192461114,-72.78438386886029,1.584893192461114,-78.06590828490042,1.584893192461114,-84.00271217833719,1.584893192461114,-85.0032238752113,1.584893192461114,-76.93602007609495,1.584893192461114,-72.84950894704622,1.584893192461114,-70.03248087650856,1.584893192461114,-67.76488738819053,1.584893192461114,-65.60334300806903,1.584893192461114,-63.31148381935317,1.584893192461114,-60.65672944365299,1.584893192461114,-57.2856273436277,1.584893192461114,-34.03332523750642,1.584893192461114,-48.53930820338887,1.584893192461114,-58.45436653992142,1.584893192461114,-67.1418214107494,1.584893192461114,-72.4601363793485,1.584893192461114,-86.96414365687025,1.584893192461114,-113.8331704842465,1.584893192461114,-89.98493637484015,1.584893192461114,-88.03174854371298,1.584893192461114,-89.18955302062162,1.584893192461114,-91.97982503348658,1.584893192461114,-98.43660902357024,1.584893192461114,-156.0635333872679,1.584893192461114,-92.61823548394958,1.584893192461114,-93.451622330989,1.584893192461114,-83.64335920405702,1.584893192461114,-80.1601294042503,1.584893192461114,-77.94263500180688,1.584893192461114,-76.40789965868193,1.584893192461114,-72.36404203414749
2.511886431509581,-48.39844123278159,2.511886431509581,-52.30514223182056,2.511886431509581,-55.56281896688721,2.511886431509581,-58.41418508464434,2.511886431509581,-61.01738410878757,2.511886431509581,-63.56300727749829,2.511886431509581,-66.20197664388974,2.511886431509581,-69.15171014508712,2.511886431509581,-72.78438386876306,2.511886431509581,-78.06590828458302,2.511886431509581,-84.00271217712073,2.511886431509581,-85.00322387375319,2.511886431509581,-76.93602007587242,2.511886431509581,-72.84950894696463,2.511886431509581,-70.0324808764654,2.511886431509581,-67.76488738816774,2.511886431509581,-65.6033430080558,2.511886431509581,-63.3114838193464,2.511886431509581,-60.65672944365001,2.511886431509581,-57.28562734362709,2.511886431509581,-34.03332523750589,2.511886431509581,-48.53930820338892,2.511886431509581,-58.45436653992267,2.511886431509581,-67.14182141074659,2.511886431509581,-72.46013637932154,2.511886431509581,-86.9641436555379,2.511886431509581,-113.8331697118184,2.511886431509581,-89.98493637129363,2.511886431509581,-88.03174854128305,2.511886431509581,-89.18955301733266,2.511886431509581,-91.97982502715608,2.511886431509581,-98.43660899469674,2.511886431509581,-156.0466773628798,2.511886431509581,-92.61823547629598,2.511886431509581,-93.45162232144391,2.511886431509581,-83.64335920309243,2.511886431509581,-80.16012940382473,2.511886431509581,-77.94263500155233,2.511886431509581,-76.40789965850271,2.511886431509581,-72.36404203407982
3.981071705534974,-48.39844123277962,3.981071705534974,-52.30514223181663,3.981071705534974,-55.56281896688029,3.981071705534974,-58.41418508463254,3.981071705534974,-61.01738410876796,3.981071705534974,-63.56300727746458,3.981071705534974,-66.20197664383289,3.981071705534974,-69.15171014497641,3.981071705534974,-72.78438386851633,3.981071705534974,-78.06590828378414,3.981071705534974,-84.00271217405593,3.981071705534974,-85.00322387008605,3.981071705534974,-76.93602007532598,3.981071705534974,-72.84950894675843,3.981071705534974,-70.03248087636705,3.981071705534974,-67.76488738811061,3.981071705534974,-65.60334300802523,3.981071705534974,-63.31148381932984,3.981071705534974,-60.65672944364314,3.981071705534974,-57.28562734362545,3.981071705534974,-34.03332523750473,3.981071705534974,-48.53930820338903,3.981071705534974,-58.45436653992576,3.981071705534974,-67.14182141073832,3.981071705534974,-72.4601363792373,3.981071705534974,-86.96414365218112,3.981071705534974,-113.8331677729505,3.981071705534974,-89.98493636239105,3.981071705534974,-88.03174853524075,3.981071705534974,-89.18955300906801,3.981071705534974,-91.97982501093506,3.981071705534974,-98.43660892218587,3.981071705534974,-156.0046233241312,3.981071705534974,-92.61823545708107,3.981071705534974,-93.45162229758417,3.981071705534974,-83.64335920066925,3.981071705534974,-80.16012940273896,3.981071705534974,-77.94263500091405,3.981071705534974,-76.4078996580714,3.981071705534974,-72.3640420339093
6.309573444801934,-48.39844123277408,6.309573444801934,-52.3051422318068,6.309573444801934,-55.56281896686244,6.309573444801934,-58.41418508460276,6.309573444801934,-61.01738410871876,6.309573444801934,-63.56300727737999,6.309573444801934,-66.20197664368375,6.309573444801934,-69.15171014469696,6.309573444801934,-72.7843838678976,6.309573444801934,-78.06590828177569,6.309573444801934,-84.00271216638015,6.309573444801934,-85.00322386088629,6.309573444801934,-76.93602007394338,6.309573444801934,-72.84950894624281,6.309573444801934,-70.03248087610727,6.309573444801934,-67.76488738796682,6.309573444801934,-65.60334300794308,6.309573444801934,-63.31148381928784,6.309573444801934,-60.65672944362547,6.309573444801934,-57.28562734362156,6.309573444801934,-34.03332523750167,6.309573444801934,-48.53930820338941,6.309573444801934,-58.45436653993123,6.309573444801934,-67.14182141071825,6.309573444801934,-72.46013637903181,6.309573444801934,-86.96414364376017,6.309573444801934,-113.833162902197,6.309573444801934,-89.98493634002098,6.309573444801934,-88.03174851997426,6.309573444801934,-89.18955298832574,6.309573444801934,-91.97982497044913,6.309573444801934,-98.43660874005131,6.309573444801934,-155.9007503632285,6.309573444801934,-92.61823540880309,6.309573444801934,-93.45162223794101,6.309573444801934,-83.64335919458956,6.309573444801934,-80.1601294000487,6.309573444801934,-77.94263499931148,6.309573444801934,-76.40789965694437,6.309573444801934,-72.36404203348334
10,-48.39844123276083,10,-52.30514223178231,10,-55.56281896681938,10,-58.41418508452773,10,-61.01738410859139,10,-63.56300727716791,10,-66.201976643311,10,-69.15171014399664,10,-72.78438386634906,10,-78.06590827673246,10,-84.00271214711654,10,-85.00322383777369,10,-76.93602007048113,10,-72.84950894494877,10,-70.03248087546091,10,-67.76488738760594,10,-65.6033430077412,10,-63.31148381918275,10,-60.65672944358142,10,-57.28562734361158,10,-34.03332523749411,10,-48.53930820339018,10,-58.45436654277408,10,-67.14182141066894,10,-72.46013637854563,10,-86.96414362260262,10,-113.8331506667754,10,-89.98493628384658,10,-88.03174848169219,10,-89.18955293623159,10,-91.97982486867967,10,-98.43660828257968,10,-155.6502915276712,10,-92.61823528753581,10,-93.45162208786121,10,-83.64335917931876,10,-80.16012939326497,10,-77.94263499528766,10,-76.4078996541535,10,-72.36404203241288
15.84893192461114,-48.39844123272759,15.84893192461114,-52.30514223172015,15.84893192461114,-55.56281896670939,15.84893192461114,-58.41418508433958,15.84893192461114,-61.01738410827538,15.84893192461114,-63.56300727663286,15.84893192461114,-66.20197664238016,15.84893192461114,-69.15171014223664,15.84893192461114,-72.78438386244486,15.84893192461114,-78.06590826405635,15.84893192461114,-84.00271209872253,15.84893192461114,-85.00322377971807,15.84893192461114,-76.93602006177893,15.84893192461114,-72.84950894169681,15.84893192461114,-70.03248087384192,15.84893192461114,-67.76488738669937,15.84893192461114,-65.60334300723237,15.84893192461114,-63.31148381891892,15.84893192461114,-60.65672944347015,15.84893192461114,-57.28562734358646,15.84893192461114,-34.03332523747512,15.84893192461114,-48.53930820339231,15.84893192461114,-58.45436654281517,15.84893192461114,-67.14182141054276,15.84893192461114,-72.46013637729691,15.84893192461114,-86.96414356947588,15.84893192461114,-113.8331199332241,15.84893192461114,-89.98493614272975,15.84893192461114,-88.03174838556461,15.84893192461114,-89.18955280538495,15.84893192461114,-91.97982461311136,15.84893192461114,-98.43660713351075,15.84893192461114,-155.0783363524137,15.84893192461114,-92.6182349829412,15.84893192461114,-93.45162171089235,15.84893192461114,-83.6433591409608,15.84893192461114,-80.16012937622651,15.84893192461114,-77.94263498517363,15.84893192461114,-76.40789964713341,15.84893192461114,-72.36404202972395
25.11886431509581,-48.39844123264253,25.11886431509581,-52.30514223156449,25.11886431509581,-55.56281896643404,25.11886431509581,-58.41418508386654,25.11886431509581,-61.01738410748133,25.11886431509581,-63.56300727529173,25.11886431509581,-66.20197664003874,25.11886431509581,-69.15171013781487,25.11886431509581,-72.78438385263651,25.11886431509581,-78.06590823222808,25.11886431509581,-84.00271197713937,25.11886431509581,-85.00322363387423,25.11886431509581,-76.93602003991674,25.11886431509581,-72.84950893352581,25.11886431509581,-70.03248086977337,25.11886431509581,-67.7648873844215,25.11886431509581,-65.60334300595325,25.11886431509581,-63.31148381825565,25.11886431509581,-60.65672944319152,25.11886431509581,-57.28562734352386,25.11886431509581,-34.03332523742731,25.11886431509581,-48.53930820339754,25.11886431509581,-58.45436654291512,25.11886431509581,-67.14182141022671,25.11886431509581,-72.46013637415798,25.11886431509581,-86.96414343601212,25.11886431509581,-113.8330427359031,25.11886431509581,-89.98493578827743,25.11886431509581,-88.03174814404329,25.11886431509581,-89.18955247669602,25.11886431509581,-91.97982397124295,25.11886431509581,-98.43660424709024,25.11886431509581,-153.9057842368378,25.11886431509581,-92.61823421782458,25.11886431509581,-93.45162076383478,25.11886431509581,-83.64335904460124,25.11886431509581,-80.16012933345435,25.11886431509581,-77.94263495977243,25.11886431509581,-76.40789962947689,25.11886431509581,-72.36404202296926
39.81071705534975,-48.39844123243066,39.81071705534975,-52.30514223117354,39.81071705534975,-55.56281896574205,39.81071705534975,-58.41418508267851,39.81071705534975,-61.0173841054877,39.81071705534975,-63.56300727192142,39.81071705534975,-66.20197663415333,39.81071705534975,-69.15171012670852,39.81071705534975,-72.78438382801652,39.81071705534975,-78.0659081522691,39.81071705534975,-84.00271167173908,39.81071705534975,-85.00322326755244,39.81071705534975,-76.93601998500739,39.81071705534975,-72.84950891300413,39.81071705534975,-70.03248085955256,39.81071705534975,-67.76488737870029,39.81071705534975,-65.60334300274073,39.81071705534975,-63.31148381658968,39.81071705534975,-60.65672944249123,39.81071705534975,-57.28562734336653,39.81071705534975,-34.03332523730737,39.81071705534975,-48.53930820341098,39.81071705534975,-58.45436654316705,39.81071705534975,-67.14182140943259,39.81071705534975,-72.46013636628146,39.81071705534975,-86.96414310079685,39.81071705534975,-113.8328488287596,39.81071705534975,-89.98493489792247,39.81071705534975,-88.03174753727636,39.81071705534975,-89.18955165107162,39.81071705534975,-91.97982235872809,39.81071705534975,-98.43659699669954,39.81071705534975,-151.8799615754509,39.81071705534975,-92.61823229594135,39.81071705534975,-93.45161838516154,39.81071705534975,-83.6433588025633,39.81071705534975,-80.16012922599833,39.81071705534975,-77.94263489597233,39.81071705534975,-76.40789958512431,39.81071705534975,-72.36404200600165
63.09573444801936,-48.39844123189733,63.09573444801936,-52.30514223019159,63.09573444801936,-55.56281896400291,63.09573444801936,-58.41418507969568,63.09573444801936,-61.01738410047646,63.09573444801936,-63.56300726345695,63.09573444801936,-66.2019766193758,63.09573444801936,-69.15171009881263,63.09573444801936,-72.78438376616498,63.09573444801936,-78.06590795142736,63.09573444801936,-84.00271090460616,63.09573444801936,-85.00322234739069,63.09573444801936,-76.93601984707946,63.09573444801936,-72.8495088614558,63.09573444801936,-70.03248083387675,63.09573444801936,-67.76488736432978,63.09573444801936,-65.60334299467418,63.09573444801936,-63.31148381240397,63.09573444801936,-60.65672944073116,63.09573444801936,-57.28562734297069,63.09573444801936,-34.03332523700602,63.09573444801936,-48.53930820344415,63.09573444801936,-58.45436654380192,63.09573444801936,-67.14182140743804,63.09573444801936,-72.46013634649042,63.09573444801936,-86.96414225871787,63.09573444801936,-113.8323617956287,63.09573444801936,-89.98493266144537,63.09573444801936,-88.03174601326427,63.09573444801936,-89.18954957716966,63.09573444801936,-91.97981830828678,63.09573444801936,-98.43657878469847,63.09573444801936,-149.0100357702677,63.09573444801936,-92.61822746837531,63.09573444801936,-93.45161241011662,63.09573444801936,-83.64335819459443,63.09573444801936,-80.16012895610037,63.09573444801936,-77.94263473570768,63.09573444801936,-76.40789947376727,63.09573444801936,-72.36404196338505
100.0000000000001,-48.39844123055806,100.0000000000001,-52.30514222772485,100.0000000000001,-55.56281895963523,100.0000000000001,-58.41418507220148,100.0000000000001,-61.01738408789149,100.0000000000001,-63.56300724219391,100.0000000000001,-66.20197658225173,100.0000000000001,-69.1517100287363,100.0000000000001,-72.78438361080099,100.0000000000001,-78.06590744693254,100.0000000000001,-84.00270897765125,100.0000000000001,-85.00322003604249,100.0000000000001,-76.93601950061027,100.0000000000001,-72.84950873197567,100.0000000000001,-70.03248076939683,100.0000000000001,-67.7648873282334,100.0000000000001,-65.60334297440973,100.0000000000001,-63.31148380189132,100.0000000000001,-60.65672943630975,100.0000000000001,-57.28562734197669,100.0000000000001,-34.03332523624914,100.0000000000001,-48.53930820352777,100.0000000000001,-58.45436654539154,100.0000000000001,-67.14182140242862,100.0000000000001,-72.46013629678129,100.0000000000001,-86.96414014354194,100.0000000000001,-113.83113866482,100.0000000000001,-89.98492704368481,100.0000000000001,-88.03174218506278,100.0000000000001,-89.18954436780574,100.0000000000001,-91.97980813417938,100.0000000000001,-98.43653303851674,100.0000000000001,-145.5569161603915,100.0000000000001,-92.6182153421418,100.0000000000001,-93.45159740166103,100.0000000000001,-83.64335666744965,100.0000000000001,-80.16012827816806,100.0000000000001,-77.94263433313974,100.0000000000001,-76.40789919397658,100.0000000000001,-72.3640418563303
158.4893192461115,-48.39844122719489,158.4893192461115,-52.30514222152861,158.4893192461115,-55.56281894866497,158.4893192461115,-58.41418505337766,158.4893192461115,-61.01738405628196,158.4893192461115,-63.56300718878386,158.4893192461115,-66.20197648900078,158.4893192461115,-69.15170985271806,158.4893192461115,-72.78438322054141,158.4893192461115,-78.06590617970112,158.4893192461115,-84.00270413737644,158.4893192461115,-85.0032142302003,158.4893192461115,-76.93601863033498,158.4893192461115,-72.84950840673316,158.4893192461115,-70.03248060741024,158.4893192461115,-67.76488723756229,158.4893192461115,-65.6033429235091,158.4893192461115,-63.3114837754847,158.4893192461115,-60.65672942520566,158.4893192461115,-57.28562733947962,158.4893192461115,-34.0333252343478,158.4893192461115,-48.53930820373765,158.4893192461115,-58.45436654938725,158.4893192461115,-67.14182138984408,158.4893192461115,-72.46013617192233,158.4893192461115,-86.96413483046015,158.4893192461115,-113.8280678167982,158.4893192461115,-89.98491293253632,158.4893192461115,-88.03173256918727,158.4893192461115,-89.18953128248293,158.4893192461115,-91.97978257809632,158.4893192461115,-98.43641813143044,158.4893192461115,-141.7953627086654,158.4893192461115,-92.61818488255632,158.4893192461115,-93.45155970220874,158.4893192461115,-83.64335283142636,158.4893192461115,-80.16012657522788,158.4893192461115,-77.94263332194215,158.4893192461115,-76.40789849122733,158.4893192461115,-72.36404158742565
251.1886431509582,-48.39844121874547,251.1886431509582,-52.30514220596469,251.1886431509582,-55.56281892110715,251.1886431509582,-58.41418500609394,251.1886431509582,-61.01738397345142,251.1886431509582,-63.56300705462461,251.1886431509582,-66.20197625476612,251.1886431509582,-69.15170941057826,251.1886431509582,-72.78438224025494,251.1886431509582,-78.06590299656064,251.1886431509582,-84.00269197916178,251.1886431509582,-85.00319964662289,251.1886431509582,-76.93601644429081,251.1886431509582,-72.84950758976183,251.1886431509582,-70.03248020052774,251.1886431509582,-67.76488700980752,251.1886431509582,-65.60334279565014,251.1886431509582,-63.31148370915445,251.1886431509582,-60.6567293973129,251.1886431509582,-57.28562733320826,251.1886431509582,-34.03332522957182,251.1886431509582,-48.53930820426514,251.1886431509582,-58.45436655942573,251.1886431509582,-67.14182135823563,251.1886431509582,-72.46013585828773,251.1886431509582,-86.96412148463216,251.1886431509582,-113.8203637586382,251.1886431509582,-89.98487748708742,251.1886431509582,-88.03170841509643,251.1886431509582,-89.18949841381996,251.1886431509582,-91.97971838474062,251.1886431509582,-98.43612951129174,251.1886431509582,-137.8940572872327,251.1886431509582,-92.61810837247097,251.1886431509582,-93.45146500704348,251.1886431509582,-83.64334319577114,251.1886431509582,-80.16012229766653,251.1886431509582,-77.94263079501091,251.1886431509582,-76.40789673653988,251.1886431509582,-72.3640409119636
398.1071705534976,-48.39844119642747,398.1071705534976,-52.30514216686961,398.1071705534976,-55.56281885188592,398.1071705534976,-58.41418488732286,398.1071705534976,-61.017383773999,398.1071705534976,-63.56300671762995,398.1071705534976,-66.20197566080498,398.1071705534976,-69.1517082999717,398.1071705534976,-72.7843797670668,398.1071705534976,-78.06589498190162,398.1071705534976,-84.00266143926117,398.1071705534976,-85.00316305318155,398.1071705534976,-76.93601095318144,398.1071705534976,-72.84950554637292,398.1071705534976,-70.03247918455612,398.1071705534976,-67.76488643771306,398.1071705534976,-65.60334247783427,398.1071705534976,-63.31148354253927,398.1071705534976,-60.65672932724975,398.1071705534976,-57.28562731745475,398.1071705534976,-34.03332521757516,398.1071705534976,-48.53930820558994,398.1071705534976,-58.45436658463969,398.1071705534976,-67.14182127883301,398.1071705534976,-72.46013507046689,398.1071705534976,-86.96408796160827,398.1071705534976,-113.8010721064834,398.1071705534976,-89.98478837287887,398.1071705534976,-88.03164774350553,398.1071705534976,-89.18941585255253,398.1071705534976,-91.97955714247101,398.1071705534976,-98.43540461488902,398.1071705534976,-133.9339811012099,398.1071705534976,-92.61791627724125,398.1071705534976,-93.45122715259653,398.1071705534976,-83.64331899222169,398.1071705534976,-80.16011155293408,398.1071705534976,-77.94262441478385,398.1071705534976,-76.40789230245318,398.1071705534976,-72.36403922158763
630.9573444801939,-48.39844114311596,630.9573444801939,-52.30514206866762,630.9573444801939,-55.56281867593349,630.9573444801939,-58.41418458628763,630.9573444801939,-61.01738327299357,630.9573444801939,-63.56300586679404,630.9573444801939,-66.20197418287837,630.9573444801939,-69.15170550278539,630.9573444801939,-72.78437358188468,630.9573444801939,-78.06587489774077,630.9573444801939,-84.00258469136081,630.9573444801939,-85.00307103893643,630.9573444801939,-76.9359971748197,630.9573444801939,-72.84950039163888,630.9573444801939,-70.03247661731292,630.9573444801939,-67.76488500516059,630.9573444801939,-65.60334167110138,630.9573444801939,-63.31148312648735,630.9573444801939,-60.65672915298835,630.9573444801939,-57.28562727898975,630.9573444801939,-34.03332518765457,630.9573444801939,-48.53930820990973,630.9573444801939,-58.45436664797558,630.9573444801939,-67.1418210793893,630.9573444801939,-72.46013310399086,630.9573444801939,-86.96400381978934,630.9573444801939,-113.7529870094309,630.9573444801939,-89.98456473861775,630.9573444801939,-88.03149534707529,630.9573444801939,-89.18920840803332,630.9573444801939,-91.97915214649836,630.9573444801939,-98.43358411341703,630.9573444801939,-129.9499777593749,630.9573444801939,-92.61743358361419,630.9573444801939,-93.45062965789423,630.9573444801939,-83.64325822360796,630.9573444801939,-80.16008458108161,630.9573444801939,-77.94260838841079,630.9573444801939,-76.4078811645881,630.9573444801939,-72.36403495971973
1000.000000000001,-48.3984410081099,1000.000000000001,-52.30514181890126,1000.000000000001,-55.56281823709725,1000.000000000001,-58.41418383419748,1000.000000000001,-61.01738200767898,1000.000000000001,-63.56300373616024,1000.000000000001,-66.20197045932902,1000.000000000001,-69.15169848787606,1000.000000000001,-72.78435802379671,1000.000000000001,-78.06582441106416,1000.000000000001,-84.00239196994899,1000.000000000001,-85.00283999544109,1000.000000000001,-76.93596255786355,1000.000000000001,-72.84948746106507,1000.000000000001,-70.03247018083526,1000.000000000001,-67.76488140447321,1000.000000000001,-65.60333965138308,1000.000000000001,-63.31148208016498,1000.000000000001,-60.65672871437923,1000.000000000001,-57.28562718181281,1000.000000000001,-34.03332511217446,1000.000000000001,-48.53930821926076,1000.000000000001,-58.45436680989404,1000.000000000001,-67.14182058562287,1000.000000000001,-72.46012814563787,1000.000000000001,-86.96379237694772,1000.000000000001,-113.6345019292497,1000.000000000001,-89.98400296496172,1000.000000000001,-88.03111244534072,1000.000000000001,-89.18868747582093,1000.000000000001,-91.97813483278999,1000.000000000001,-98.42901485157844,1000.000000000001,-125.9563628242874,1000.000000000001,-92.61622151557324,1000.000000000001,-93.44912931569706,1000.000000000001,-83.64310554212184,1000.000000000001,-80.16001680499846,1000.000000000001,-77.94256815843708,1000.000000000001,-76.40785320873056,1000.000000000001,-72.36402426703579
